Mary	F	51475	1960
Susan	F	39203	1960
Linda	F	37311	1960
Karen	F	36380	1960
Donna	F	34132	1960
Lisa	F	33702	1960
Patricia	F	32104	1960
Debra	F	26739	1960
Cynthia	F	26723	1960
Deborah	F	25265	1960
David	M	85929	1960
Michael	M	84180	1960
James	M	76832	1960
John	M	76093	1960
Robert	M	72360	1960
Mark	M	58728	1960
William	M	49350	1960
Richard	M	43546	1960
Thomas	M	39273	1960
Steven	M	33889	1960
Mary	F	47680	1961
Lisa	F	42702	1961
Susan	F	37521	1961
Linda	F	35579	1961
Karen	F	34697	1961
Patricia	F	28868	1961
Donna	F	28668	1961
Cynthia	F	24378	1961
Sandra	F	24144	1961
Deborah	F	24093	1961
Michael	M	86917	1961
David	M	84758	1961
John	M	79929	1961
James	M	75924	1961
Robert	M	72901	1961
Mark	M	57767	1961
William	M	47994	1961
Richard	M	41117	1961
Thomas	M	37551	1961
Steven	M	32240	1961
Lisa	F	46078	1962
Mary	F	43486	1962
Susan	F	35743	1962
Karen	F	35184	1962
Linda	F	31468	1962
Patricia	F	26536	1962
Donna	F	25730	1962
Cynthia	F	24021	1962
Deborah	F	22894	1962
Sandra	F	22414	1962
Michael	M	85034	1962
David	M	81324	1962
John	M	78429	1962
James	M	72555	1962
Robert	M	70196	1962
Mark	M	53504	1962
William	M	44860	1962
Richard	M	39409	1962
Thomas	M	36524	1962
Jeffrey	M	33521	1962
Lisa	F	56040	1963
Mary	F	41550	1963
Susan	F	33998	1963
Karen	F	32485	1963
Linda	F	27719	1963
Donna	F	25399	1963
Patricia	F	25371	1963
Lori	F	23907	1963
Sandra	F	21619	1963
Cynthia	F	21593	1963
Michael	M	83782	1963
John	M	78625	1963
David	M	78467	1963
James	M	71322	1963
Robert	M	70012	1963
Mark	M	49350	1963
William	M	44474	1963
Richard	M	40786	1963
Thomas	M	35503	1963
Jeffrey	M	31719	1963
Lisa	F	54275	1964
Mary	F	40990	1964
Susan	F	31515	1964
Karen	F	30247	1964
Patricia	F	26088	1964
Kimberly	F	24128	1964
Donna	F	23810	1964
Linda	F	23633	1964
Cynthia	F	20320	1964
Tammy	F	20041	1964
Michael	M	82646	1964
John	M	82533	1964
David	M	75054	1964
James	M	73037	1964
Robert	M	70003	1964
Mark	M	45269	1964
William	M	44240	1964
Richard	M	40097	1964
Thomas	M	34451	1964
Jeffrey	M	30732	1964
Lisa	F	60269	1965
Mary	F	34270	1965
Karen	F	32872	1965
Kimberly	F	28830	1965
Susan	F	26328	1965
Patricia	F	23554	1965
Donna	F	19698	1965
Linda	F	19334	1965
Cynthia	F	19248	1965
Angela	F	18749	1965
Michael	M	81021	1965
John	M	71541	1965
David	M	67852	1965
James	M	67701	1965
Robert	M	63123	1965
William	M	40127	1965
Mark	M	38264	1965
Richard	M	36849	1965
Thomas	M	31623	1965
Jeffrey	M	29587	1965
Lisa	F	56914	1966
Kimberly	F	32234	1966
Mary	F	28884	1966
Michelle	F	27151	1966
Karen	F	25446	1966
Susan	F	23773	1966
Patricia	F	20110	1966
Tammy	F	18621	1966
Angela	F	18530	1966
Jennifer	F	18210	1966
Michael	M	79990	1966
David	M	66420	1966
James	M	65174	1966
John	M	65032	1966
Robert	M	59330	1966
William	M	38253	1966
Mark	M	34806	1966
Richard	M	34469	1966
Jeffrey	M	30202	1966
Thomas	M	29014	1966
Lisa	F	52435	1967
Kimberly	F	33102	1967
Michelle	F	30826	1967
Mary	F	25313	1967
Susan	F	22263	1967
Karen	F	21540	1967
Angela	F	19543	1967
Tammy	F	18652	1967
Melissa	F	18379	1967
Jennifer	F	18231	1967
Michael	M	82436	1967
David	M	66810	1967
James	M	61698	1967
John	M	61618	1967
Robert	M	56381	1967
William	M	37619	1967
Mark	M	34925	1967
Richard	M	33588	1967
Christopher	M	29426	1967
Brian	M	28655	1967
Lisa	F	49532	1968
Michelle	F	33221	1968
Kimberly	F	31908	1968
Jennifer	F	26852	1968
Melissa	F	21727	1968
Mary	F	21725	1968
Angela	F	20669	1968
Tammy	F	20056	1968
Karen	F	19558	1968
Susan	F	19503	1968
Michael	M	82008	1968
David	M	63718	1968
John	M	60929	1968
James	M	60693	1968
Robert	M	58211	1968
William	M	36956	1968
Mark	M	35420	1968
Richard	M	32987	1968
Christopher	M	31459	1968
Brian	M	29939	1968
Lisa	F	45029	1969
Michelle	F	34322	1969
Jennifer	F	33702	1969
Kimberly	F	33077	1969
Melissa	F	23020	1969
Amy	F	21464	1969
Angela	F	21055	1969
Mary	F	19851	1969
Tammy	F	19051	1969
Laura	F	17920	1969
Michael	M	85203	1969
